Aabye;Aa-bye
čtvrtrok;čtvrt-rok
čtvrtstoletí;čtvrt-sto-le-tí
čtvrtstoletý;čtvrt-sto-le-tý
čtvrttón;čtvrt-tón
čtvrttónový;čtvrt-tó-no-vý
čtvrtý;čtvr-tý
čtyrák;čty-rák
čtyřalbum;čtyř-al-bum
čtyřbarevný;čtyř-ba-rev-ný
čtyřbob;čtyř-bob
čtyřbodový;čtyř-bo-do-vý
čtyřboj;čtyř-boj
čtyřboký;čtyř-bo-ký
čtyřbrankový;čtyř-bran-ko-vý
čtyřcentimetrový;čtyř-cen-ti-me-t-ro-vý
čtyřče;čtyř-če
čtyřčíslí;čtyř-čí-s-lí
čtyřčlenný;čtyř-člen-ný
čtyřčtvrteční;čtyř-čtvr-teč-ní
čtyřčtvrťový;čtyř-čtvr-ťo-vý
čtyřdenní;čtyř-den-ní
čtyřdílný;čtyř-díl-ný
čtyřdobý;čtyř-do-bý
čtyřdráha;čtyř-drá-ha
čtyřdráhový;čtyř-drá-ho-vý
čtyřdrachma;čtyř-drach-ma
čtyřdveřový;čtyř-dve-řo-vý
čtyřdvorský;čtyř-dvor-ský
čtyřetapový;čtyř-eta-po-vý
čtyřfázový;čtyř-fá-zo-vý
čtyřgólový;čtyř-gó-lo-vý
čtyřhektarový;čtyř-hek-ta-ro-vý
čtyřhlas;čtyřhlas
čtyřhlasý;čtyř-hla-sý
čtyřhlavý;čtyř-hla-vý
čtyřhodinový;čtyř-ho-di-no-vý
čtyřhra;čtyř-hra
čtyřhranný;čtyř-hran-ný
čtyřhvězdičkový;čtyř-hvěz-dič-ko-vý
čtyřiačtyřicátý;čty-ři-a-čty-ři-cá-tý
čtyřiačtyřicet;čty-ři-a-čty-ři-cet
čtyřiadevadesát;čty-ři-a-de-va-de-sát
čtyřiadevadesátý;čty-ři-a-de-va-de-sá-tý
čtyřiadvacátý;čty-ři-a-dva-cá-tý
čtyřiadvacet;čty-ři-a-dva-cet
čtyřiadvacetihodinovka;čty-ři-a-dva-ce-ti-ho-di-nov-ka
čtyřiadvacetihodinový;čty-ři-a-dva-ceti-ho-di-no-vý
čtyřiadvacetikarátový;čty-ři-a-dva-ce-ti-ka-rá-to-vý
čtyřiadvacetkrát;čty-ři-a-dva-cet-krát
čtyřiadvacítka;čty-ři-a-dva-cít-ka
čtyřiaosmdesát;čty-ři-a-osm-de-sát
čtyřiaosmdesátý;čty-ři-a-osm-de-sá-tý
čtyřiapadesát;čty-ři-a-pa-de-sát
čtyřiapadesátý;čty-ři-a-pa-de-sá-tý
čtyřiapůl;čty-řia-půl
čtyřiasedmdesát;čty-ři-a-se-dm-de-sát
čtyřiasedmdesátý;čty-ři-a-se-dm-de-sá-tý
čtyřiašedesát;čty-ři-a-še-de-sát
čtyřiašedesátý;čty-ři-a-še-de-sá-tý
čtyřiatřicátý;čty-ři-a-tři-cá-tý
čtyřiatřicet;čty-ři-a-tři-cet
čtyřiatřicetkrát;čty-ři-a-tři-cet-krát
čtyřicátiny;čty-ři-cá-ti-ny
čtyřicátnice;čty-ři-cát-ni-ce
čtyřicátník;čty-ři-cát-ník
čtyřicátý;čty-ři-cá-tý
čtyřicet;čty-ři-cet
čtyřicetibodový;čty-ři-ce-ti-bo-do-vý
čtyřiceticentimetrový;čty-ři-ce-ti-cen-ti-me-t-ro-vý
čtyřicetičlenný;čty-ři-ce-ti-člen-ný
čtyřicetidenní;čty-ři-ce-ti-den-ní
čtyřicetihektarový;čty-ři-ce-ti-hek-ta-ro-vý
čtyřicetihodinový;čty-ři-ce-ti-ho-di-no-vý
čtyřicetikilometrový;čty-ři-ce-ti-ki-lo-me-t-ro-vý
čtyřicetikilový;čty-ři-ce-ti-ki-lo-vý
čtyřicetikorunový;čty-ři-ce-ti-ko-ru-no-vý
čtyřicetiletí;čty-ři-ce-ti-le-tí
čtyřicetiletý;čty-ři-ce-ti-le-tý
čtyřicetimetrový;čty-ři-ce-ti-me-t-ro-vý
čtyřicetimiliardový;čty-ři-ce-ti-mi-liar-do-vý
čtyřicetimilionový;čty-ři-ce-ti-mi-lio-no-vý
čtyřicetiminutový;čty-ři-ce-ti-mi-nu-to-vý
čtyřicetina;čty-ři-ce-ti-na
čtyřicetinásobný;čty-ři-ce-ti-ná-sob-ný
čtyřicetiprocentní;čty-ři-ce-ti-pro-cent-ní
čtyřicetistránkový;čty-ři-ce-ti-strán-ko-vý
čtyřicetistupňový;čty-ři-ce-ti-stup-ňo-vý
čtyřicetitisícový;čty-ři-ce-ti-ti-sí-co-vý
čtyřicetitunový;čty-ři-ce-ti-tu-no-vý
čtyřicetivteřinový;čty-ři-ce-ti-vte-ři-no-vý
čtyřicetkrát;čty-ři-cet-krát
čtyřicítka;čty-ři-cít-ka
čtyři;čty-ři
Čtyři Dvory;Čty-ři Dvo-ry
čtyřikrát;čty-ři-krát
čtyřistakrát;čty-ři-sta-krát
čtyřistametrový;čty-ři-sta-me-t-ro-vý
čtyřjazyčný;čtyř-ja-zyč-ný
čtyřka;čtyř-ka
čtyřkajak;čtyř-ka-jak
čtyřkánoe;čtyř-ká-noe
čtyřkař;čtyř-kař
čtyřkilometrový;čtyř-ki-lo-me-t-ro-vý
čtyřkilový;čtyř-ki-lo-vý
čtyřklaný;čtyř-kla-ný
čtyřkoalice;čtyř-koa-li-ce
čtyřkoaliční;čtyř-koa-lič-ní
čtyřkolák;čtyř-ko-lák
čtyřkolka;čtyř-kol-ka
čtyřkolkář;čtyř-kol-kář
čtyřkolově;čtyř-ko-lo-vě
čtyřkolový;čtyř-ko-lo-vý
čtyřkolský;čtyř-kol-ský
Čtyřkoly;Čtyř-ko-ly
čtyřkolý;čtyř-ko-lý
čtyřkorunový;čtyř-ko-ru-no-vý
čtyřkový;čtyř-ko-vý
čtyřkřídlý;čtyř-kří-d-lý
čtyřletka;čtyř-let-ka
čtyřletý;čtyř-le-tý
čtyřlístek;čtyř-lí-s-tek
čtyřlitrový;čtyř-li-t-ro-vý
čtyřlůžkový;čtyř-lůž-ko-vý
čtyřměsíční;čtyř-mě-síč-ní
čtyřmetrový;čtyř-me-t-ro-vý
čtyřmiliardový;čtyř-mi-liar-do-vý
čtyřmilionový;čtyř-mi-lio-no-vý
čtyřminutovka;čtyř-mi-nu-tov-ka
čtyřminutový;čtyř-mi-nu-to-vý
čtyřmístný;čtyř-míst-ný
čtyřmocný;čtyř-moc-ný
čtyřmotorový;čtyř-mo-to-ro-vý
čtyřnápravový;čtyř-ná-pra-vo-vý
čtyřnásobek;čtyř-ná-so-bek
čtyřnásobně;čtyř-ná-sob-ně
čtyřnásobný;čtyř-ná-sob-ný
čtyřnohý;čtyř-no-hý
čtyřnožec;čtyř-no-žec
čtyřpatrový;čtyř-pa-t-ro-vý
čtyřpodlažní;čtyř-po-d-laž-ní
čtyřpokojový;čtyř-po-ko-jo-vý
čtyřpól;čtyř-pól
čtyřposchoďový;čtyř-po-scho-ďo-vý
čtyřprocentní;čtyř-pro-cent-ní
čtyřproudovka;čtyř-prou-dov-ka
čtyřproudový;čtyř-prou-do-vý
čtyřproudý;čtyř-prou-dý
čtyřprstý;čtyř-pr-s-tý
čtyřpruh;čtyř-pruh
čtyřpruhový;čtyř-pru-ho-vý
čtyřramenný;čtyř-ra-men-ný
čtyřrozměrný;čtyř-roz-měr-ný
čtyřručně;čtyř-ruč-ně
čtyřruční;čtyř-ruč-ní
čtyřrychlostní;čtyř-rych-lost-ní
čtyřřádkový;čtyř-řád-ko-vý
čtyřřadý;čtyř-řa-dý
čtyřsedačka;čtyř-se-dač-ka
čtyřsedačkový;čtyř-se-dač-ko-vý
čtyřsedadlový;čtyř-se-da-d-lo-vý
čtyřsetletý;čtyř-set-le-tý
čtyřsetmetrový;čtyř-set-me-t-ro-vý
čtyřsetmilionový;čtyř-set-mi-lio-no-vý
čtyřsetový;čtyř-se-to-vý
čtyřsetstránkový;čtyř-set-strán-ko-vý
čtyřsettisícový;čtyř-set-ti-sí-co-vý
čtyřslabičný;čtyř-sla-bič-ný
čtyřsměnný;čtyř-směn-ný
čtyřspřeží;čtyř-spře-ží
čtyřstěn;čtyř-stěn
čtyřstopý;čtyř-sto-pý
čtyřstovka;čtyř-stov-ka
čtyřstránkový;čtyř-strán-ko-vý
čtyřstranný;čtyř-stran-ný
čtyřstup;čtyř-stup
čtyřstupňový;čtyř-stup-ňo-vý
čtyřstý;čtyř-stý
čtyřsvazkový;čtyř-svaz-ko-vý
čtyřtakt;čtyř-takt
čtyřtaktní;čtyř-takt-ní
čtyřtisícovka;čtyř-ti-sí-cov-ka
čtyřtisícový;čtyř-ti-sí-co-vý
čtyřtřídní;čtyř-tříd-ní
čtyřtunový;čtyř-tu-no-vý
čtyřtýdenní;čtyř-tý-den-ní
čtyřúhelník;čtyř-úhel-ník
čtyřválcový;čtyř-vál-co-vý
čtyřválec;čtyř-vá-lec
čtyřvektor;čtyř-vek-tor
čtyřventilový;čtyř-ven-ti-lo-vý
čtyřverší;čtyř-ver-ší
čtyřveslice;čtyř-ve-s-li-ce
čtyřzápasový;čtyř-zá-pa-so-vý
čubička;ču-bič-ka
čubka;čub-ka
čučet;ču-čet
Čučice;Ču-či-ce
čučický;ču-čic-ký
čudlík;ču-d-lík
čufa;ču-fa
čufty;čuf-ty
Čukotka;Ču-kot-ka
Čukotské moře;Ču-kot-ské mo-ře
čukotský;ču-kot-ský
Čukotský poloostrov;Ču-kot-ský po-lo-os-t-rov
čukotština;ču-kot-šti-na
čukština;čuk-šti-na
čumáček;ču-má-ček
čumák;ču-mák
čumenda;ču-men-da
čumět;čumět
čumil;ču-mil
čumiza;ču-mi-za
Ču-mu-lang-ma;Ču-mu-lang-ma
čundrácký;čun-d-rác-ký
čundračka;čun-drač-ka
čundrák;čun-d-rák
čundr;čun-dr
čuně;ču-ně
čuník;ču-ník
čupřina;ču-p-ři-na
čurák;ču-rák
čurat;ču-rat
čurbes;čur-bes
čúrek;čú-rek
čutat;ču-tat
čutnout;čut-nout
čutora;ču-to-ra
čuvač;ču-vač
čúza;čú-za
čvachtanice;čvach-ta-ni-ce
čvachtat;čvach-tat
ďábel;ďá-bel
ďábelsky;ďá-bel-sky
ďábelský;ďá-bel-ský
dabér;da-bér
dabérka;da-bér-ka
dabing;da-bing
dabingový;da-bin-go-vý
ďáblice;ďáb-li-ce
Ďáblice;Ďáb-li-ce
ďáblický;ďáb-lic-ký
ďáblík;ďáb-lík
dabovací;da-bo-va-cí
dabovaný;da-bo-va-ný
dabovat;da-bo-vat
dacan;da-can
dacit;da-cit
dacron;dac-ron
dacronový;da-cro-no-vý
dača;da-ča
ďáček;ďá-ček
Dačice;Da-či-ce
dačický;da-čic-ký
da;da
dada;da-da
dadaismus;da-dai-s-mus
dadaista;da-dai-s-ta
dadaisticky;da-dai-s-tic-ky
dadaistický;da-dai-s-tic-ký
dadaistka;da-daist-ka
dadat;da-dat
Dafné;Daf-né
dafnie;daf-nie
Dafnis;Daf-nis
Dagestán;Da-ges-tán
dagestánský;da-ges-tán-ský
Dagmara;Dag-ma-ra
Dagmar;Dag-mar
dágoba;dá-go-ba
daguerrotyp;da-gue-r-ro-typ
daguerrotypie;da-gue-r-ro-ty-pie
dahabije;da-ha-bi-je
dahlie;dah-lie
Dachau;Da-chau
dachauský;da-chau-s-ký
dáchnout;dách-nout
Dachstein;Dach-stein
dachsteinský;dach-stein-ský
Daidalos;Dai-da-los
daimjó;daim-jó
daimonion;dai-mo-ni-on
Dakar;Da-kar
dakarský;da-kar-ský
ďák;ďák
dakl;dakl
daklík;daklík
dakota;da-ko-ta
dakryocystitida;da-kryo-cy-sti-ti-da
daktyl;dak-tyl
daktylografie;dak-ty-lo-gra-fie
daktylologie;dak-ty-lo-lo-gie
daktylomancie;dak-ty-lo-man-cie
daktyloskopický;dak-ty-lo-sko-pic-ký
daktyloskopie;dak-ty-lo-sko-pie
daktyloskopovat;dak-ty-lo-sko-po-vat
daktylotika;dak-ty-lo-ti-ka
daktylotrochej;dak-ty-lo-tro-chej
daktylotrochejský;dak-ty-lo-tro-chej-ský
daktylský;dak-tyl-ský
dalajlama;da-laj-la-ma
dalamánek;da-la-má-nek
dálava;dá-la-va
dalba;dal-ba
dál;dál
dalece;da-le-ce
Dalečín;Da-le-čín
dalečínský;da-le-čín-ský
dále;dá-le
dalejský;da-lej-ský
Daleké Dušníky;Da-le-ké Duš-ní-ky
daleko;da-le-ko
dalekodušnický;da-le-ko-duš-nic-ký
dalekohled;da-le-ko-hled
dalekonosný;da-le-ko-no-s-ný
dalekosáhle;da-le-ko-sáh-le
dalekosáhlý;da-le-ko-sáh-lý
dalekozrakost;da-le-ko-zra-kost
dalekozraký;da-le-ko-zra-ký
daleký;da-le-ký
Dalešice;Da-le-ši-ce
dalešický;da-le-šic-ký
Daliborka;Da-li-bor-ka
Dalí;Da-lí
Dalimil;Da-li-mil
dálka;dál-ka
dálkař;dál-kař
dálkařka;dál-kař-ka
dálkařský;dál-kař-ský
dálkoměr;dál-ko-měr
dálkoplavec;dál-ko-pla-vec
dálkoplaz;dál-ko-plaz
dálkově;dál-ko-vě
dálkový;dál-ko-vý
Dallas;Da-l-las
dallaský;da-l-la-s-ký
Dalmácie;Dal-má-cie
dalmatika;dal-ma-ti-ka
dalmatin;dal-ma-tin
dalmatinec;dal-ma-ti-nec
Dalmatinec;Dal-ma-ti-nec
Dalmatinka;Dal-ma-tin-ka
dalmatský;dal-mat-ský
dalmátština;dal-mát-šti-na
dálnice;dál-ni-ce
dálničář;dál-ni-čář
dálniční;dál-nič-ní
dálnopis;dál-no-pis
dálnopisný;dál-no-pi-s-ný
dálnovýchodní;dál-no-vý-chod-ní
dálný;dál-ný
Dalovice;Da-lo-vi-ce
dalovický;da-lo-vic-ký
další;dal-ší
dalton;dal-ton
daltonický;dal-to-nic-ký
daltonismus;dal-to-ni-s-mus
daltonský;dal-ton-ský
dáma;dá-ma
daman;da-man
damara;da-ma-ra
damaroň;da-ma-roň
damarový;da-ma-ro-vý
damascenský;da-ma-s-cen-ský
damaskování;da-mas-ko-vá-ní
damašek;da-ma-šek
Damašek;Da-ma-šek
damaškový;da-ma-š-ko-vý
damašský;da-maš-ský
Dambořice;Dam-bo-ři-ce
dambořický;dam-bo-řic-ký
dámička;dá-mič-ka
Damnice;Dam-ni-ce
damnický;dam-nic-ký
Damníkov;Dam-ní-kov
damníkovský;dam-ní-kov-ský
damnum;damnum
Damokles;Da-mo-kles
damourit;da-mou-rit
dampr;dam-pr
dámský;dám-ský
danajský;da-naj-ský
daňař;daňař
dancing;dan-cing
Danča;Dan-ča
daňčí;daň-čí
dan;dan
daň;daň
Dán;Dán
dandismus;dan-di-s-mus
dandy;dan-dy
dandyovský;dan-dyov-ský
daněk;da-něk
daněný;da-ně-ný
Danica;Da-ni-ca
Daniel;Da-niel
danit;da-nit
Dánka;Dán-ka
Daňkovice;Daň-ko-vi-ce
daňkovický;daň-ko-vic-ký
danost;da-nost
daňově;da-ňo-vě
daňový;da-ňo-vý
danse macabre;dan-se ma-ca-bre
Dánsko;Dán-sko
dánsky;dán-sky
dánský;dán-ský
dánština;dán-šti-na
Dante;Dan-te
dantovský;dan-tov-ský
danubiální;danu-bi-ál-ní
Danuše;Da-nu-še
daný;da-ný
darabukka;da-ra-buk-ka
dárce;dár-ce
dárcovský;dár-cov-ský
dárcovství;dár-cov-ství
darda;dar-da
dardanelský;dar-da-nel-ský
Dardanely;Dar-da-ne-ly
dar;dar
darebácký;da-re-bác-ký
darebáctví;da-re-bác-tví
dareba;da-re-ba
darebák;da-re-bák
darebnost;da-reb-nost
darebný;da-reb-ný
dáreček;dá-re-ček
dárek;dá-rek
Dárfúr;Dár-fúr
dárfúrský;dár-fúr-ský
darí;da-rí
Darja;Darja
darker;dar-ker
Darkovice;Dar-ko-vi-ce
darkovický;dar-ko-vic-ký
darkovský;dar-kov-ský
dárkový;dár-ko-vý
dárkyně;dár-ky-ně
darmo;dar-mo
Darmopíši;Dar-mo-pí-ši
darmošlap;dar-mo-šlap
darmožrout;dar-mo-žrout
Darmstadt;Darm-stadt
darmstadtský;darm-stadt-ský
darovací;da-ro-va-cí
darovaný;da-ro-va-ný
darovat;da-ro-vat
darovník;da-rov-ník
Darrieux;Da-r-rieux
darující;da-ru-jí-cí
darwinismus;dar-wi-ni-s-mus
darwinista;dar-wi-ni-s-ta
darwinistický;dar-wi-ni-s-tic-ký
darwinovec;dar-wi-no-vec
darwinovský;dar-wi-nov-ský
dařit;da-řit
ďas;ďas
dasein;da-sein
daseinsanalýza;da-seins-ana-lý-za
dáseň;dá-seň
dasenský;da-sen-ský
Daskabát;Das-ka-bát
daskabátský;das-ka-bát-ský
Dasnice;Das-ni-ce
dasnický;das-nic-ký
dásňový;dá-s-ňo-vý
Dasný;Das-ný
dasymetr;da-sy-me-tr
dasymetrový;da-sy-me-t-ro-vý
Dáša;Dá-ša
Dašice;Da-ši-ce
dašický;da-šic-ký
databanka;da-ta-ban-ka
databankový;da-ta-ban-ko-vý
databáze;da-ta-bá-ze
databázový;da-ta-bá-zo-vý
datace;da-ta-ce
datacentrum;da-ta-cen-t-rum
data;da-ta
datadisk;da-ta-disk
dataprojektor;da-ta-pro-jek-tor
datatechnika;da-ta-tech-ni-ka
dát;dát
datel;da-tel
datio in solutum;da-tio in so-lu-tum
dativ;da-tiv
dativní;da-tiv-ní
datle;dat-le
datlí;dat-lí
datlík;dat-lík
datlovka;dat-lov-ka
datlovník;dat-lov-ník
datlovníkový;dat-lov-ní-ko-vý
datlový;dat-lo-vý
datolit;da-to-lit
datosměnka;da-to-směn-ka
datovací;da-to-va-cí
datovaný;da-to-va-ný
datovat;da-to-vat
datově;da-to-vě
datový;da-to-vý
datum;da-tum
datumka;da-tum-ka
datumovat;da-tumo-vat
datumovka;da-tum-ov-ka
datyně;da-ty-ně
Dauhá;Dau-há
dauháský;dau-há-s-ký
dauphin;dau-phin
dauphine;dau-phine
dávaný;dá-va-ný
dávat;dá-vat
dav;dav
davelský;da-vel-ský
Davey;Da-vey
dávicí;dá-vi-cí
dávící;dá-ví-cí
daviscupový;da-vis-cu-po-vý
dávit;dá-vit
dávivý;dá-vi-vý
dávka;dáv-ka
dávkovací;dáv-ko-va-cí
dávkovač;dáv-ko-vač
dávkovaný;dáv-ko-va-ný
dávkovat;dáv-ko-vat
dávkový;dáv-ko-vý
Davle;Dav-le
dávno;dáv-no
dávnověk;dáv-no-věk
dávnověký;dáv-no-vě-ký
dávný;dáv-ný
davoský;da-vos-ký
davový;da-vo-vý
daxl;da-xl
daxlík;da-x-lík
daytonský;da-y-ton-ský
dbalý;dba-lý
dbát;dbát
dcera;dce-ra
dcerka;dcer-ka
dcerunka;dce-run-ka
dceruška;dce-ruš-ka
dceřin;dce-řin
dceřinka;dce-řin-ka
dceřiný;dce-ři-ný
deadjektivní;de-ad-jek-tiv-ní
deadjektivum;de-ad-jek-ti-vum
deadline;dead-line
deadverbiale;de-ad-ver-bia-le
deadverbiální;de-ad-ver-biál-ní
deaerace;de-aera-ce
deaerační;de-aerač-ní
deaerátor;de-aerá-tor
deagentizace;de-agen-ti-za-ce
deagentně;de-agen-t-ně
deagentní;de-agent-ní
deaktivace;de-ak-ti-va-ce
deaktivovaný;de-ak-ti-vo-va-ný
deaktivovat;de-ak-ti-vo-vat
dealer;dea-ler
dealerka;dea-ler-ka
dealersky;dea-ler-sky
dealerský;dea-ler-ský
dealerství;dea-ler-ství
dealing;dea-ling
dealkalizace;de-al-ka-li-za-ce
dealpín;de-al-pín
dealpínský;de-al-pín-ský
deambulatorium;de-am-bu-la-to-ri-um
deaminace;de-ami-na-ce
deaminační;de-ami-nač-ní
deaminovat;de-a-mi-no-vat
deanonymizovat;de-ano-ny-mi-zo-vat
death metal;death me-tal
deathmetalový;death-me-ta-lo-vý
debakl;de-ba-kl
debardér;de-bar-dér
debata;de-ba-ta
debatér;de-ba-tér
debatérka;de-ba-tér-ka
debatérský;de-ba-tér-ský
debatní;de-bat-ní
debatovaný;de-ba-to-va-ný
debatovat;de-ba-to-vat
debelace;de-be-la-ce
debet;de-bet
debetní;de-bet-ní
debil;de-bil
debilita;de-bi-li-ta
debilně;de-bil-ně
debilní;de-bil-ní
debilnost;de-bil-nost
debitor;de-bi-tor
debl;de-bl
Deblín;Deb-lín
deblínský;deb-lín-ský
deblista;de-bli-s-ta
deblistka;de-blist-ka
deblkajak;de-bl-ka-jak
deblkánoe;de-bl-ká-noe
deblkanoista;de-bl-ka-no-is-ta
deblokace;de-blo-ka-ce
deblokační;de-blo-kač-ní
deblokovat;de-blo-ko-vat
deblový;de-blo-vý
debolševizace;de-bol-še-vi-za-ce
debolševizovat;de-bol-še-vi-zo-vat
Debrecín;De-b-re-cín
debrecínka;de-bre-cín-ka
debrecínský;de-b-re-cín-ský
debrujár;de-b-ru-jár
debugger;de-bu-g-ger
debutant;de-bu-tant
debutantka;de-bu-tant-ka
debutantský;de-bu-tant-ský
debut;de-but
debutovat;de-bu-to-vat
debutový;de-bu-to-vý
debužírovat;de-bu-ží-ro-vat
decelerace;de-ce-le-ra-ce
decemvirát;de-cem-vi-rát
decemvir;de-cem-vir
decennium;de-ce-n-nium
decentně;de-cent-ně
decentní;de-cent-ní
decentnost;de-cent-nost
decentralismus;de-cen-t-ra-li-s-mus
decentralista;de-cen-t-ra-li-s-ta
decentralistický;de-cen-t-ra-li-s-tic-ký
decentralizace;de-cen-t-ra-li-za-ce
decentralizační;de-cen-t-ra-li-zač-ní
decentralizovaný;de-cen-t-ra-li-zo-va-ný
decentralizovat;de-cen-t-ra-li-zo-vat
decerebrace;de-ce-re-bra-ce
decerebrační;de-ce-re-brač-ní
decibel;de-ci-bel
decibelový;de-ci-be-lo-vý
deci;de-ci
decidua;de-ci-dua
decigram;de-ci-gram
decil;de-cil
decilitr;de-ci-li-tr
decilitrový;de-ci-li-t-ro-vý
decimace;de-ci-ma-ce
decima;de-ci-ma
decimálka;de-ci-mál-ka
decimální;de-ci-mál-ní
decimetr;de-ci-me-tr
decimetrový;de-ci-me-t-ro-vý
decimovaný;de-ci-mo-va-ný
decimovat;de-ci-mo-vat
decimový;de-ci-mo-vý
deciso;de-ci-so
decizivní;de-ci-ziv-ní
decizní;de-ciz-ní
decka;dec-ka
děcko;děc-ko
declamando;dec-la-man-do
declamato;dec-la-ma-to
decrescendo;de-cres-cen-do
děčanský;dě-čan-ský
Děčany;Dě-ča-ny
Děčín;Dě-čín
děčínský;dě-čín-ský
dečka;deč-ka
déčko;déč-ko
děda;dě-da
děd;děd
de;de
dědeček;dě-de-ček
dědečkovský;dě-deč-kov-ský
dědek;dě-dek
děděný;dě-dě-ný
dederon;de-de-ron
dederonový;de-de-ro-no-vý
dědic;dě-dic
Dědice;Dě-di-ce
dědický;dě-dic-ký
dědictví;dě-dic-tví
dědička;dě-dič-ka
dědičně;dě-dič-ně
dědičnost;dě-dič-nost
dědičný;dě-dič-ný
dedikace;de-di-ka-ce
dedikační;de-di-kač-ní
dedikovaný;de-di-ko-va-ný
dedikovat;de-di-ko-vat
dědina;dě-di-na
dědinka;dě-din-ka
dědit;dě-dit
dědoušek;dě-dou-šek
Dědová;Dě-do-vá
dědovský;dě-dov-ský
dedukce;de-duk-ce
dedukcionismus;de-duk-cio-ni-s-mus
dedukční;de-duk-ční
dedukovat;de-du-ko-vat
deduktivně;de-duk-tiv-ně
deduktivní;de-duk-tiv-ní
deduktivnost;de-duk-tiv-nost
dědula;dě-du-la
deemfáze;de-em-fá-ze
deemulgace;de-emul-ga-ce
deemulgační;de-emul-ga-č-ní
deemulgátor;de-emul-gá-tor
deerhound;deer-hound
deeskalace;de-es-ka-la-ce
deetatizace;de-eta-ti-za-ce
deetatizační;de-eta-ti-zač-ní
deetatizovat;de-eta-ti-zo-vat
deexcitace;de-ex-ci-ta-ce
de facto;de fac-to
defašizace;de-fa-ši-za-ce
default;de-fault
defekace;de-fe-ka-ce
defekační;de-fe-kač-ní
defekt;de-fekt
defektivita;de-fek-ti-vi-ta
defektivní;de-fek-tiv-ní
defektivnost;de-fek-tiv-nost
defektivum;de-fek-ti-vum
defektně;de-fek-t-ně
defektní;de-fekt-ní
defektolog;de-fek-to-log
defektologický;de-fek-to-lo-gic-ký
defektologie;de-fek-to-lo-gie
defektoložka;de-fek-to-lož-ka
defektoskop;de-fek-to-skop
defektoskopický;de-fek-to-sko-pic-ký
defektoskopie;de-fek-to-sko-pie
defeminizace;de-fe-mi-ni-za-ce
defenestrace;de-fe-ne-s-t-ra-ce
defenziva;de-fen-zi-va
defenzivně;de-fen-ziv-ně
defenzivní;de-fen-ziv-ní
defenzor;de-fen-zor
defétismus;de-fé-ti-s-mus
defétista;de-fé-ti-s-ta
defétisticky;defétis-tic-ky
defétistický;de-fé-ti-s-tic-ký
defibrilace;de-fi-b-ri-la-ce
defibrilátor;de-fi-b-ri-lá-tor
deficience;de-fi-cien-ce
deficientní;de-fi-ci-ent-ní
deficit;de-fi-cit
deficitní;de-fi-cit-ní
deficitnost;de-fi-cit-nost
deficitový;de-fi-ci-to-vý
defilé;de-fi-lé
defilírka;de-fi-lír-ka
defilovat;de-fi-lo-vat
definice;de-fi-ni-ce
definiční;de-fi-nič-ní
definiendum;de-fi-ni-en-dum
definiens;de-fi-ni-ens
definitiva;de-fi-ni-ti-va
definitivně;de-fi-ni-tiv-ně
definitivní;de-fi-ni-tiv-ní
definitivnost;de-fi-ni-tiv-nost
definitor;de-fi-ni-tor
definovaný;de-fi-no-va-ný
definovat;de-fi-no-vat
definovatelný;de-fi-no-va-tel-ný
deflace;de-fla-ce
deflační;de-flač-ní
deflagrace;de-fla-gra-ce
deflagrační;de-fla-grač-ní
deflátor;de-flá-tor
deflegmátor;de-fleg-má-tor
deflektor;de-flek-tor
deflexe;de-fle-xe
deflexní;de-flex-ní
deflorace;de-flo-ra-ce
deflorovat;de-flo-ro-vat
deflování;de-flo-vá-ní
defluorace;de-flu-ora-ce
defluorizace;de-flu-ori-za-ce
Defoe;De-foe
defoliace;de-fo-lia-ce
defoliační;de-fo-lia-ční
defoliant;de-fo-li-ant
defonologizace;de-fo-no-lo-gi-za-ce
deformace;de-for-ma-ce
deformačně;de-for-mač-ně
deformační;de-for-mač-ní
deformativní;de-for-ma-tiv-ní
deformativnost;de-for-ma-tiv-nost
deformita;de-for-mi-ta
deformovaný;de-for-mo-va-ný
deformovat;de-for-mo-vat
defraudace;de-frau-da-ce
defraudační;de-frau-dač-ní
defraudant;de-frau-dant
defraudantka;de-frau-dant-ka
defraudovat;de-frau-do-vat
degazace;de-ga-za-ce
degazační;de-ga-zač-ní
degenerace;de-ge-ne-ra-ce
degeneračně;de-ge-ne-rač-ně
degenerační;de-ge-ne-rač-ní
degenerativně;de-ge-ne-ra-tiv-ně
degenerativní;de-ge-ne-ra-tiv-ní
degenerovaný;de-ge-ne-ro-va-ný
degenerovat;de-ge-ne-ro-vat
deglaciace;de-gla-cia-ce
deglomerace;de-glo-me-ra-ce
degoržování;de-go-r-žo-vá-ní
degradace;de-gra-da-ce
degradační;de-gra-dač-ní
degradovaný;de-gra-do-va-ný
degradovat;de-gra-do-vat
degrese;de-gre-se
degresivní;de-gre-siv-ní
degustace;de-gu-s-ta-ce
degustační;de-gu-s-tač-ní
degustátor;de-gu-s-tá-tor
degustátorský;de-gu-s-tá-tor-ský
degustovat;de-gusto-vat
degutantní;de-gu-tant-ní
dehelmintizace;de-hel-min-ti-za-ce
deheroizace;de-he-roi-za-ce
dehet;de-het
dehiscence;de-his-cen-ce
dehonestace;de-ho-ne-sta-ce
dehonestovat;de-ho-ne-sto-vat
dehtářský;deh-tář-ský
dehtovat;deh-to-vat
dehtový;deh-to-vý
dehumanizace;de-hu-ma-ni-za-ce
